model,dataset,n_items,c1_lc,c2_lc,c3_lc,c4_lc,c1_lc_rate,c2_lc_rate,c3_lc_rate,c4_lc_rate,original_bidir_rate,length_controlled_bidir_rate,original_c2_rate,length_controlled_c2_rate,delta_c2_lc_minus_orig
deepseek,arc_easy,2376,277,535,389,1175,0.11658249158249158,0.22516835016835016,0.1637205387205387,0.49452861952861954,0.29419191919191917,0.2803030303030303,0.21548821548821548,0.22516835016835016,0.009680134680134678
deepseek,boolq,3270,657,977,509,1127,0.20091743119266056,0.29877675840978596,0.15565749235474005,0.34464831804281343,0.3837920489296636,0.3565749235474006,0.27522935779816515,0.29877675840978596,0.023547400611620806
deepseek,commonsenseqa,1221,160,152,394,515,0.13104013104013104,0.12448812448812449,0.3226863226863227,0.4217854217854218,0.47174447174447176,0.4537264537264537,0.11547911547911548,0.12448812448812449,0.009009009009009014
deepseek,gsm8k,1319,536,288,328,167,0.40636846095526913,0.21834723275208492,0.2486732373009856,0.12661106899166036,0.7437452615617892,0.6550416982562547,0.15011372251705837,0.21834723275208492,0.06823351023502655
deepseek,mmlu_stem,3279,198,427,661,1993,0.06038426349496798,0.13022262885025923,0.20158584934431228,0.6078072583104605,0.2787435193656603,0.2619701128392803,0.12076852698993595,0.13022262885025923,0.009454101860323277
gpt4o,arc_easy,2376,88,2259,1,28,0.037037037037037035,0.9507575757575758,0.00042087542087542086,0.011784511784511785,0.37247474747474746,0.03745791245791246,0.6199494949494949,0.9507575757575758,0.3308080808080809
gpt4o,boolq,3270,558,2313,30,369,0.1706422018348624,0.7073394495412844,0.009174311926605505,0.11284403669724771,0.3620795107033639,0.1798165137614679,0.5663608562691131,0.7073394495412844,0.14097859327217122
gpt4o,commonsenseqa,1221,56,978,11,176,0.04586404586404586,0.800982800982801,0.009009009009009009,0.14414414414414414,0.5741195741195741,0.054873054873054876,0.3447993447993448,0.800982800982801,0.4561834561834561
gpt4o,gsm8k,1319,47,1214,4,54,0.0356330553449583,0.9203942380591357,0.003032600454890068,0.04094010614101592,0.800606520090978,0.03866565579984837,0.18271417740712662,0.9203942380591357,0.7376800606520091
gpt4o,mmlu_stem,3279,105,2685,41,448,0.03202195791399817,0.818847209515096,0.012503812137846905,0.13662702043305885,0.3074107959743824,0.044525770051845076,0.5736505032021958,0.818847209515096,0.24519670631290025
gpt5.4,arc_easy,2376,367,1987,2,20,0.15446127946127947,0.8362794612794613,0.0008417508417508417,0.008417508417508417,0.30597643097643096,0.1553030303030303,0.6877104377104377,0.8362794612794613,0.14856902356902357
gpt5.4,boolq,3270,324,2582,31,333,0.09908256880733946,0.7896024464831805,0.009480122324159021,0.1018348623853211,0.3581039755351682,0.10856269113149847,0.5685015290519878,0.7896024464831805,0.22110091743119265
gpt5.4,commonsenseqa,1221,228,808,36,149,0.18673218673218672,0.6617526617526618,0.029484029484029485,0.12203112203112203,0.4062244062244062,0.21621621621621623,0.4987714987714988,0.6617526617526618,0.162981162981163
gpt5.4,gsm8k,1319,259,1011,10,39,0.19636087945413191,0.7664897649734648,0.0075815011372251705,0.029567854435178165,0.6542835481425322,0.20394238059135708,0.32676269901440486,0.7664897649734648,0.4397270659590599
gpt5.4,mmlu_stem,3279,483,2574,35,187,0.1473010064043916,0.7849954254345837,0.010673985971332723,0.05702958218969198,0.46294602012808783,0.1579749923757243,0.4885635864592864,0.7849954254345837,0.2964318389752973
haiku,arc_easy,2376,164,2144,6,62,0.06902356902356903,0.9023569023569024,0.0025252525252525255,0.026094276094276093,0.3691077441077441,0.07154882154882154,0.609006734006734,0.9023569023569024,0.29335016835016836
haiku,boolq,3270,202,2616,56,396,0.0617737003058104,0.8,0.01712538226299694,0.12110091743119267,0.4935779816513762,0.07889908256880734,0.44678899082568807,0.8,0.353211009174312
haiku,commonsenseqa,1221,158,852,35,176,0.1294021294021294,0.6977886977886978,0.028665028665028666,0.14414414414414414,0.6707616707616708,0.15806715806715807,0.26126126126126126,0.6977886977886978,0.43652743652743653
haiku,gsm8k,1319,53,1212,6,48,0.0401819560272934,0.9188779378316907,0.004548900682335102,0.03639120545868082,0.5845337376800607,0.04473085670962851,0.3904473085670963,0.9188779378316907,0.5284306292645944
haiku,mmlu_stem,3279,291,2090,178,720,0.08874656907593778,0.6373894480024398,0.05428484293992071,0.21957913998170173,0.32936870997255263,0.1430314120158585,0.4650808173223544,0.6373894480024398,0.1723086306800854
qwen2.5,arc_easy,2376,19,2219,0,138,0.007996632996632997,0.9339225589225589,0.0,0.05808080808080808,0.3838383838383838,0.007996632996632997,0.5753367003367004,0.9339225589225589,0.35858585858585856
qwen2.5,boolq,3270,117,2665,18,470,0.03577981651376147,0.8149847094801224,0.005504587155963303,0.1437308868501529,0.24617737003058104,0.04128440366972477,0.6415902140672783,0.8149847094801224,0.17339449541284402
qwen2.5,commonsenseqa,1221,11,925,1,284,0.009009009009009009,0.7575757575757576,0.000819000819000819,0.2325962325962326,0.4438984438984439,0.009828009828009828,0.41605241605241605,0.7575757575757576,0.3415233415233415
qwen2.5,gsm8k,1319,18,936,9,356,0.013646702047005308,0.709628506444276,0.006823351023502654,0.2699014404852161,0.645185746777862,0.02047005307050796,0.15921152388172857,0.709628506444276,0.5504169825625475
