method,model,dataset,level,n,accuracy,nli_rate,cosine_mean,C1,C2,C3,C4
LLMLingua (τ=0.5),gpt4o,arc_easy,LLMLingua,2376,0.07449494949494949,0.12037037037037036,0.6880926195286196,0.013468013468013467,0.06102693602693603,0.1069023569023569,0.8186026936026936
LLMLingua (τ=0.5),gpt4o,boolq,LLMLingua,3270,0.10091743119266056,0.12048929663608562,0.764129574617737,0.013761467889908258,0.0871559633027523,0.10672782874617737,0.7923547400611621
LLMLingua (τ=0.5),gpt4o,gsm8k,LLMLingua,1319,0.35178165276724793,0.5678544351781653,0.8734699257012888,0.266868840030326,0.08491281273692192,0.3009855951478393,0.34723275208491283
LLMLingua (τ=0.5),qwen2.5,arc_easy,LLMLingua,2376,0.06860269360269361,0.09848484848484848,0.7374808855218855,0.010101010101010102,0.0585016835016835,0.08838383838383838,0.843013468013468
LLMLingua (τ=0.5),qwen2.5,boolq,LLMLingua,3224,0.062034739454094295,0.10235732009925558,0.7243555127171216,0.007444168734491315,0.05459057071960298,0.09491315136476426,0.8430521091811415
LLMLingua (τ=0.5),qwen2.5,gsm8k,LLMLingua,1319,0.19484457922668688,0.47536012130401817,0.8492507695223654,0.12736921910538287,0.06747536012130402,0.3479909021986353,0.45716451857467777
LLMLingua (τ=0.5),sonnet,arc_easy,LLMLingua,2227,0.057925460260440056,0.16479568926807364,0.7577290246969016,0.01661427929950606,0.041311180960933995,0.14818140996856757,0.7938931297709924
LLMLingua (τ=0.5),sonnet,boolq,LLMLingua,3205,0.2031201248049922,0.187207488299532,0.7350403297971918,0.03868954758190327,0.16443057722308893,0.1485179407176287,0.6483619344773791
LLMLingua (τ=0.5),sonnet,gsm8k,LLMLingua,1319,0.2699014404852161,0.38059135708870356,0.8596715253980287,0.1379833206974981,0.13191811978771797,0.24260803639120546,0.4874905231235785
LLMLingua (τ=0.8),qwen2.5,arc_easy,LLMLingua_t0.8,2376,0.2058080808080808,0.1994949494949495,0.8755173859427609,0.03956228956228956,0.16624579124579125,0.15993265993265993,0.6342592592592593
LLMLingua (τ=0.8),qwen2.5,boolq,LLMLingua_t0.8,3270,0.4666666666666667,0.22048929663608563,0.8840064070336391,0.10703363914373089,0.3596330275229358,0.11345565749235474,0.41987767584097857
LLMLingua (τ=0.8),qwen2.5,gsm8k,LLMLingua_t0.8,1319,0.6641394996209249,0.7338893100833965,0.9345465405610311,0.5200909780136467,0.14404852160727824,0.2137983320697498,0.12206216830932524
